pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	707	1256	631	370	420	352	338	350	358	310	310	308	3263
home---pt interaction	292	547	639	704	633	450	434	174	65	117	57	102	289
home---work	1163	2120	1222	751	700	705	646	700	613	589	543	523	6730
other---home	670	1258	701	408	449	400	352	333	320	284	265	260	3270
other---pt interaction	103	206	215	235	204	163	164	62	16	45	25	43	121
pt interaction---home	294	556	629	728	621	459	438	170	68	117	59	99	291
pt interaction---other	109	196	224	232	212	153	160	56	18	45	27	42	125
pt interaction---pt interaction	1102	3720	3189	1016	5	0	0	0	0	0	0	0	0
pt interaction---work	199	339	364	460	381	292	285	129	47	86	43	55	224
work---home	1217	2180	1131	765	692	640	602	599	534	519	459	452	7192
work---pt interaction	198	348	384	460	386	294	276	134	45	84	39	60	219

average leg duration: 2843.770075671298 seconds = 00:47:23
