Iteration;car;pt;walk
0;148484;25676;76899
1;146203;27480;84625
2;145246;29188;88917
3;146068;29948;89620
4;149125;30103;88932
5;151086;29700;88516
6;155131;29697;86806
7;158596;29224;85436
8;161964;28577;83921
9;165615;28229;82493
10;168463;28041;80483
