ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;3227.966349862638;4118.275496652283
1;3268.658102936987;4237.21293990844
2;3298.4767351490027;4319.9104775810565
3;3317.804896854643;4357.414967713824
4;3356.5257843268696;4398.798562406782
5;3387.8636996325863;4417.527073977138
6;3419.702387211379;4455.788852415837
7;3460.9534344639565;4482.400798278718
8;3497.853194099894;4502.190688104758
9;3535.44103279253;4532.940881288831
10;3552.846360786946;4543.601062623797
