Iteration	car	pt	walk
0	0.5522128539089924	0.1379055805255733	0.3098815655654342
1	0.5645484072044881	0.15857419376004725	0.3577802565532627
2	0.574718677208753	0.17889833010727996	0.40120074800695515
3	0.585955185197336	0.19817263213149175	0.4412256815721269
4	0.5965191430727338	0.2159213936550638	0.47774023161969753
5	0.6052458908828451	0.23168531216167448	0.5135986352153801
6	0.6155473901774876	0.24854827597519766	0.5436993536957448
7	0.6245694038909485	0.26434500180440273	0.5724549719497392
8	0.6333781700075457	0.2785177651651849	0.5993241691545553
9	0.6423837800597093	0.2916735015255405	0.6246678258587317
10	0.6509792985794429	0.305468980676487	0.6474361077392474
