link;from_node;to_node;length;freespeed;capacity;lanes;modes;vol_car;storageCapacityUsedInQsim;type;origid;geometry
1;10632880857;12349948858;72.05557741285932;19.444444444444443;2550.0;2.0;car;3142;;primary;1396178743;LINESTRING( 633321.0590633099 4804060.746687272, 633390.3352258706 4804040.927011766 )
10;10569461101;10569461100;150.28291638062888;5.555555555555555;420.0;1.0;car;11;;unclassified;1133637525;LINESTRING( 629629.8441233652 4800852.975154862, 629712.9648762167 4800974.244254352 )
100;10578216794;6342426584;104.42396757429796;5.555555555555555;420.0;1.0;car;21;;unclassified;1153095829;LINESTRING( 630871.331369203 4802337.243502267, 630929.2893124705 4802422.190507633 )
1000;4800161974;4800161973;72.00784554605217;5.555555555555555;420.0;1.0;car;1600;;residential;1086851574;LINESTRING( 632785.4936366968 4801387.54289742, 632783.4290535625 4801315.564655453 )
1001;3321563199;4797729168;74.45904260810505;5.555555555555555;420.0;1.0;car;58;;residential;376129364;LINESTRING( 630091.9434871362 4803061.597284365, 630129.513580015 4803125.836021838 )
1002;4797729168;3321563199;74.45904260810505;5.555555555555555;420.0;1.0;car;59;;residential;376129364;LINESTRING( 630129.513580015 4803125.836021838, 630091.9434871362 4803061.597284365 )
1003;4797729168;2015570243;225.5610965455277;5.555555555555555;420.0;1.0;car;60;;residential;376129364;LINESTRING( 630129.513580015 4803125.836021838, 630270.5709618321 4803301.6797217745 )
1004;2015570243;4797729168;225.5610965455277;5.555555555555555;420.0;1.0;car;61;;residential;376129364;LINESTRING( 630270.5709618321 4803301.6797217745, 630129.513580015 4803125.836021838 )
1005;2015570243;2015570246;95.78222870802401;5.555555555555555;420.0;1.0;car;67;;residential;376129364;LINESTRING( 630270.5709618321 4803301.6797217745, 630336.8143433149 4803370.861003535 )
1006;2015570246;2015570243;95.78222870802401;5.555555555555555;420.0;1.0;car;69;;residential;376129364;LINESTRING( 630336.8143433149 4803370.861003535, 630270.5709618321 4803301.6797217745 )
1007;2015570246;2015570251;75.09856836496631;5.555555555555555;420.0;1.0;car;78;;residential;376129364;LINESTRING( 630336.8143433149 4803370.861003535, 630390.053348975 4803423.827061032 )
