pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	844	2001	1630	1010	544	340	259	249	240	212	202	207	1432
home---pt interaction	318	526	587	683	603	439	407	149	64	93	46	87	309
home---work	1313	2503	1628	1509	1441	1169	1027	936	771	721	644	558	2780
other---home	788	1778	1368	999	674	451	360	361	287	238	223	211	1471
other---pt interaction	94	162	195	222	165	154	120	52	12	39	17	38	93
pt interaction---home	319	548	568	661	612	417	416	146	71	100	47	88	296
pt interaction---other	96	169	185	218	186	153	128	52	11	39	23	37	105
pt interaction---pt interaction	877	3219	3342	1154	8	0	0	0	0	0	0	0	0
pt interaction---work	201	324	360	462	401	281	287	129	52	88	39	48	237
work---home	1365	2681	1748	1603	1562	1273	1000	909	747	556	440	412	2687
work---pt interaction	209	328	365	457	392	289	282	140	49	84	40	57	234

average leg duration: 1719.212929556562 seconds = 00:28:39
