pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	836	1973	1620	986	556	343	256	270	248	214	190	208	1462
home---pt interaction	317	525	609	676	586	451	433	150	70	102	46	89	299
home---work	1291	2426	1553	1349	1298	1096	975	918	846	842	664	634	3074
other---home	786	1741	1327	974	634	464	371	390	334	255	206	204	1469
other---pt interaction	96	177	200	225	170	150	128	50	15	42	17	36	111
pt interaction---home	327	563	600	679	601	438	430	156	65	108	47	89	296
pt interaction---other	98	166	188	230	189	143	122	42	15	40	25	36	116
pt interaction---pt interaction	933	3250	3376	1189	4	0	0	0	0	0	0	0	0
pt interaction---work	199	332	352	482	386	294	299	120	46	93	42	50	248
work---home	1352	2583	1678	1544	1388	1171	1050	1074	789	666	462	418	2752
work---pt interaction	204	344	363	476	401	312	281	133	42	80	44	59	243

average leg duration: 1751.5433818469146 seconds = 00:29:11
