pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	790	1782	1402	898	596	371	291	309	297	237	208	222	1589
home---pt interaction	331	547	660	743	673	488	452	185	63	117	57	95	309
home---work	1231	2342	1348	1031	945	810	730	734	714	725	685	660	4814
other---home	743	1574	1151	831	563	406	357	373	358	306	271	267	1794
other---pt interaction	107	200	214	243	198	168	164	54	15	39	21	40	115
pt interaction---home	331	572	651	757	680	487	438	185	70	122	61	98	293
pt interaction---other	112	184	221	246	208	161	156	52	15	42	24	40	119
pt interaction---pt interaction	1042	3657	3538	1221	7	0	0	0	0	0	0	0	0
pt interaction---work	209	358	373	505	424	331	307	125	57	94	49	63	245
work---home	1277	2392	1383	1183	1103	938	844	911	839	701	676	647	3848
work---pt interaction	217	368	406	476	425	328	308	141	53	87	47	71	240

average leg duration: 1929.1131026886296 seconds = 00:32:09
