pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	752	1499	1046	699	574	443	365	354	367	300	285	270	1979
home---pt interaction	317	566	674	742	664	481	440	174	71	126	59	96	310
home---work	1168	2208	1254	810	789	720	696	763	685	646	587	551	5951
other---home	714	1468	992	727	539	417	333	343	315	255	253	250	2315
other---pt interaction	104	216	228	242	209	172	158	68	20	47	26	42	119
pt interaction---home	315	567	656	758	656	486	442	174	71	125	60	96	313
pt interaction---other	110	197	235	242	212	169	152	63	20	47	26	43	123
pt interaction---pt interaction	1122	3798	3363	1149	7	0	0	0	0	0	0	0	0
pt interaction---work	198	346	389	488	397	329	310	127	56	94	51	57	239
work---home	1233	2246	1269	950	905	802	732	755	645	662	583	548	5511
work---pt interaction	194	353	399	475	399	333	298	143	50	86	47	64	227

average leg duration: 2229.4272044088175 seconds = 00:37:09
