pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	806	1848	1498	942	588	378	295	283	265	218	201	205	1547
home---pt interaction	316	551	649	738	638	469	431	182	63	111	58	87	314
home---work	1275	2356	1431	1108	1028	903	805	843	769	791	696	686	4109
other---home	760	1625	1209	881	610	458	383	350	331	301	274	245	1629
other---pt interaction	110	193	207	231	178	169	147	53	19	36	22	42	109
pt interaction---home	324	573	649	741	656	475	424	185	62	115	59	87	307
pt interaction---other	115	179	205	220	186	160	137	52	16	41	25	42	120
pt interaction---pt interaction	1023	3519	3498	1217	7	0	0	0	0	0	0	0	0
pt interaction---work	206	340	378	511	416	321	313	125	57	95	48	50	249
work---home	1319	2453	1443	1272	1213	1033	914	889	796	792	714	642	3288
work---pt interaction	219	351	398	499	411	326	304	139	51	86	42	64	251

average leg duration: 1856.4210340923387 seconds = 00:30:56
