modes,count,share
car-car,15974,0.5240641711229946
walk-walk,9480,0.3110134181949411
pt-pt,3485,0.11433351924149471
walk-pt,777,0.025491289655851186
pt-walk,753,0.024703913913585514
car-walk,8,2.624585807552246E-4
walk-car,4,1.312292903776123E-4
other,0,0.0
