dist,car,pt,walk
0.0,0.38955874062352713,0.0,0.6104412593764729
100.0,0.37454358727116566,0.0,0.6254564127288342
200.0,0.36955148766406504,0.0,0.630448512335935
300.0,0.3678727015206045,8.762883694451077E-5,0.632039669642451
400.0,0.36732752878479935,4.711900442224065E-4,0.6322012811709784
500.0,0.3674748559077627,7.827450654669455E-4,0.6317423990267703
600.0,0.3691639489431507,0.0010352891635477886,0.6298007618933015
700.0,0.3782602304910519,0.0014498728489677033,0.6202898966599805
800.0,0.3867494739379222,0.0018040182083583248,0.6114465078537196
900.0,0.3938099336103774,0.0022576708348900267,0.6039323955547324
1000.0,0.40002324876485135,0.002895392269398801,0.5970813589657499
1100.0,0.40540031064089166,0.0037171748012288313,0.5908825145578795
1200.0,0.4102356622378458,0.0046454796672888285,0.5851188580948654
1300.0,0.4150877143539787,0.005732734849372832,0.5791795507966484
1400.0,0.42082594936834533,0.007245030085461952,0.5719290205461928
1500.0,0.42828335670969275,0.009375024965550094,0.5623416183247572
1600.0,0.43706472476499186,0.012144897214007369,0.5507903780210007
1700.0,0.4457874663572617,0.015362717972561314,0.538849815670177
1800.0,0.45357797087955115,0.01871061031393156,0.5277114188065173
1900.0,0.460385371125506,0.022257761247513358,0.5173568676269806
2000.0,0.4656256244471143,0.02650664653219262,0.507867729020693
2100.0,0.4696077635310742,0.03161666143717705,0.49877557503174885
2200.0,0.47246100336902186,0.037454718302897046,0.49008427832808105
2300.0,0.4739424144553996,0.0433996631511906,0.48265792239340993
2400.0,0.4745989104866338,0.04888971107604403,0.4765113784373222
2500.0,0.4758605002246193,0.05430735999648341,0.4698321397788973
2600.0,0.4784553367002902,0.0603873873814678,0.461157275918242
2700.0,0.4820462098358634,0.06749469379681876,0.450459096367318
2800.0,0.48551259221511456,0.07555518693619144,0.4389322208486941
2900.0,0.4886449685455561,0.08405747088039452,0.4272975605740494
3000.0,0.49166298846978235,0.09230577350973643,0.4160312380204812
3100.0,0.4955683436141856,0.09999281327568486,0.40443884311012956
3200.0,0.5000624855259829,0.10720855596753158,0.3927289585064856
3300.0,0.5045435623313672,0.11415171411244536,0.3813047235561875
3400.0,0.5086301083307209,0.12097205583223883,0.37039783583704033
3500.0,0.5120839244343661,0.12762945384959326,0.36028662171604053
3600.0,0.515125934342689,0.13384144118306882,0.35103262447424216
3700.0,0.5185645709814114,0.13953257223922944,0.34190285677935917
3800.0,0.5218390055325289,0.14495554684328882,0.3332054476241823
3900.0,0.5235530559852722,0.15125411349985676,0.325192830514871
4000.0,0.5223865274145717,0.15984737375516567,0.3177660988302627
4100.0,0.5184570634353537,0.17082404140850765,0.3107188951561386
4200.0,0.5130283260006617,0.18265130879019642,0.30432036520914185
4300.0,0.5071893705809072,0.1937359631771284,0.2990746662419644
4400.0,0.5018226118229475,0.2035830834668799,0.29459430471017256
4500.0,0.4979637471473249,0.21236354602667368,0.28967270682600127
4600.0,0.496134634048161,0.22021859868832228,0.2836467672635167
4700.0,0.49606735163017257,0.22692515761402696,0.27700749075580045
4800.0,0.49763845571827564,0.23219627644188837,0.270165267839836
4900.0,0.5003166698089814,0.23671588235869342,0.2629674478323251
5000.0,0.502860736769178,0.2417874414285301,0.2553518218022918
5100.0,0.5039258387357003,0.2483802449620785,0.24769391630222137
5200.0,0.5030533524785739,0.2564120199018734,0.24053462761955285
5300.0,0.5019019329090509,0.2640763503285365,0.23402171676241248
5400.0,0.5014882527191746,0.2700800596063383,0.22843168767448715
5500.0,0.5005367995269472,0.2751321367452929,0.2243310637277599
5600.0,0.49829158373714,0.2804600548143451,0.22124836144851498
5700.0,0.4954540576021275,0.28626860225764583,0.21827734014022682
5800.0,0.4930330400475032,0.2915645840086714,0.21540237594382558
5900.0,0.49244043990538144,0.2950822352981871,0.21247732479643142
