purpose,main_mode,share
home,car,0.5241954004133723
home,pt,0.1398248088973459
home,walk,0.33597979068928185
other,car,0.5414301929625426
other,pt,0.12949300037835793
other,walk,0.3290768066590995
work,car,0.5152443618464011
work,pt,0.14410568084785774
work,walk,0.3406499573057411
