pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	860	2017	1641	1042	549	353	256	240	228	202	204	201	1410
home---pt interaction	296	501	599	683	592	423	405	157	68	100	41	81	292
home---work	1328	2519	1569	1436	1463	1167	1040	1003	912	829	619	486	2669
other---home	790	1781	1358	1068	702	472	364	328	274	226	228	210	1415
other---pt interaction	93	174	199	206	171	143	115	50	18	35	16	34	102
pt interaction---home	316	532	597	680	585	409	400	151	74	113	46	84	275
pt interaction---other	100	167	182	204	196	143	120	41	13	38	22	33	110
pt interaction---pt interaction	883	3130	3316	1165	6	0	0	0	0	0	0	0	0
pt interaction---work	191	309	374	452	399	267	288	114	51	87	38	51	248
work---home	1379	2696	1834	1762	1600	1223	992	875	666	565	423	395	2593
work---pt interaction	195	333	379	447	391	291	275	128	44	85	41	52	245

average leg duration: 1698.8139734742567 seconds = 00:28:18
