link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
1,0.14411115482571865,0.05133986928104575,67.16283596580952,0.9593825956240163,0.9593825956240163,3142.0,3142.0
10,0.15028291638062888,0.0010912698412698415,20.000683880601255,1.0,1.0,11.0,11.0
100,0.10442396757429796,0.0020833333333333337,20.000334287479923,1.0,1.0,21.0,21.0
1000,0.07200784554605216,0.15873015873015875,19.939840085401695,0.9969770966280701,0.9969770966280701,1600.0,1600.0
1001,0.07445904260810506,0.005753968253968254,19.751758344143013,0.9875547431137273,0.9875547431137273,58.0,58.0
1002,0.07445904260810506,0.005853174603174603,19.72506066527067,0.9862213227330552,0.9862213227330552,59.0,59.0
1003,0.2255610965455277,0.005952380952380952,19.941546781883087,0.9970601940974733,0.9970601940974733,60.0,60.0
1004,0.2255610965455277,0.006051587301587301,19.93341650085898,0.9966547036281592,0.9966547036281592,61.0,61.0
1005,0.09578222870802401,0.006646825396825397,19.70893242890307,0.9854156404921632,0.9854156404921632,67.0,67.0
1006,0.09578222870802401,0.006845238095238095,19.684248045970367,0.98418335765509,0.98418335765509,69.0,69.0
1007,0.07509856836496631,0.007738095238095238,19.74394790517621,0.9871625004293594,0.9871625004293594,78.0,78.0
1008,0.07509856836496631,0.006349206349206349,19.735146224713937,0.9867235604990147,0.9867235604990147,64.0,64.0
1009,0.09649582058913089,0.005753968253968254,19.77388153600694,0.9886844206524018,0.9886844206524018,58.0,58.0
101,0.10442396757429796,0.0020833333333333337,19.966781095089743,0.9983249520014279,0.9983249520014279,21.0,21.0
1010,0.09649582058913089,0.00882936507936508,19.686241397265878,0.9843041963888155,0.9843041963888155,89.0,89.0
1011,0.08365022812716105,0.005654761904761905,19.62016150355051,0.9810062002531593,0.9810062002531593,57.0,57.0
1012,0.08365022812716105,0.013293650793650793,19.443035859007452,0.9721503441451806,0.9721503441451806,134.0,134.0
1013,0.06212791322100216,4.960317460317462E-4,20.000043601502977,1.0,1.0,5.0,5.0
1014,0.06212791322100216,4.960317460317462E-4,19.957491425402903,0.9978724593223448,0.9978724593223448,5.0,5.0
1015,0.13130766969909682,0.14503968253968255,19.49816602972983,0.9749005864502981,0.9749005864502981,1462.0,1462.0
1016,0.13130766969909682,0.15714285714285717,19.835923123816368,0.991788608872803,0.991788608872803,1584.0,1584.0
1017,0.21251749825949143,0.004464285714285714,19.877097375179105,0.9938519747167939,0.9938519747167939,45.0,45.0
1018,0.21251749825949143,8.928571428571429E-4,19.964164659351436,0.9982046867468953,0.9982046867468953,9.0,9.0
1019,0.12055718392236316,0.0026785714285714286,19.946292141993627,0.9973037732076147,0.9973037732076147,27.0,27.0
102,0.0870462555166407,0.0025793650793650797,20.000416125855665,1.0,1.0,26.0,26.0
1020,0.12055718392236316,2.9761904761904765E-4,19.99174730141136,0.9995742799801497,0.9995742799801497,3.0,3.0
1021,0.14497455712625718,0.00505952380952381,19.867642511415163,0.9933692073193671,0.9933692073193671,51.0,51.0
1022,0.14497455712625718,0.0016865079365079368,19.895575060051396,0.9947651636731846,0.9947651636731846,17.0,17.0
1023,0.051317803031423234,0.0019841269841269845,19.84148102997586,0.9920542140172519,0.9920542140172519,20.0,20.0
1024,0.051317803031423234,0.0011904761904761904,19.825584844642563,0.9912596354189771,0.9912596354189771,12.0,12.0
1025,0.18522283054987854,0.002182539682539682,19.939403722311557,0.9969674149769215,0.9969674149769215,22.0,22.0
1026,0.18522283054987854,1.984126984126984E-4,19.99197742439122,0.9995956553302562,0.9995956553302562,2.0,2.0
1028,0.13052688152032413,0.0072420634920634915,19.89529351733714,0.9947379028506078,0.9947379028506078,73.0,73.0
1029,0.13052688152032413,0.003869047619047619,19.87605311616964,0.9937758827922327,0.9937758827922327,39.0,39.0
103,0.0870462555166407,0.0025793650793650793,19.913955993644933,0.9956813280337933,0.9956813280337933,26.0,26.0
1030,0.35261361445813,0.0027777777777777775,19.982889262466422,0.9991381031941136,0.9991381031941136,28.0,28.0
1031,0.35261361445813,3.9682539682539693E-4,19.993240898456882,0.9996552412776454,0.9996552412776454,4.0,4.0
1032,0.08388083955529349,0.03572303921568627,59.563760824752066,0.8507073944035686,0.8507073944035686,2915.0,2915.0
1033,0.11111047009477866,0.0037847222222222223,44.77536222967708,0.9949511127143371,0.9949511127143371,109.0,109.0
1034,0.6799975470234192,0.03719362745098039,68.93859175030373,0.9848195669374165,0.9848195669374165,3035.0,3035.0
1035,0.17136183917207273,0.0019841269841269845,19.991751605145204,0.9995836856208954,0.9995836856208954,20.0,20.0
1036,0.17136183917207273,0.004265873015873016,19.976126538759356,0.9988030961600743,0.9988030961600743,43.0,43.0
1037,0.15433437400228575,0.009027777777777779,19.943721740553695,0.9971813809788314,0.9971813809788314,91.0,91.0
1038,0.15433437400228575,0.005952380952380952,19.953026896385552,0.997646498291354,0.997646498291354,60.0,60.0
1039,0.03409697133343416,0.008531746031746033,19.17951661094617,0.9589264209532452,0.9589264209532452,86.0,86.0
104,0.12756337269387802,0.004662698412698413,19.992582711207234,0.9996154691430058,0.9996154691430058,47.0,47.0
1040,0.03409697133343416,0.007142857142857143,19.128143756141437,0.956359322262823,0.956359322262823,72.0,72.0
