road_type,hour,congestion_index
trunk_link,21,1.0
trunk_link,22,1.0
trunk_link,23,1.0
unclassified,0,1.0
unclassified,1,1.0
unclassified,2,1.0
unclassified,3,1.0
unclassified,4,1.0
unclassified,5,1.0
unclassified,6,1.0
unclassified,7,0.9890410405056634
unclassified,8,0.9884797108366337
unclassified,9,0.996827546783196
unclassified,10,0.9945973079359066
unclassified,11,0.9945120457744195
unclassified,12,0.9939145294321988
unclassified,13,0.993494280073859
unclassified,14,0.9926162393291024
unclassified,15,0.9950108648458671
unclassified,16,0.9900128394945704
unclassified,17,0.9894881879515905
unclassified,18,0.9899582795068209
unclassified,19,0.995073572112609
unclassified,20,0.9994198785768861
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
