pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	729	1277	575	260	276	243	225	238	244	198	190	187	4453
home---pt interaction	257	513	592	655	599	426	401	154	62	106	51	98	277
home---work	1202	2208	1224	702	591	588	557	612	559	527	484	440	7501
other---home	694	1247	621	270	270	244	227	237	232	189	194	181	4483
other---pt interaction	101	195	205	217	186	156	139	54	15	38	24	38	115
pt interaction---home	266	518	573	675	603	415	411	155	61	110	54	95	280
pt interaction---other	107	184	207	211	195	150	136	50	16	39	27	39	116
pt interaction---pt interaction	1041	3459	2946	959	2	0	0	0	0	0	0	0	0
pt interaction---work	179	308	348	431	362	275	260	113	42	84	39	54	219
work---home	1229	2208	1088	577	465	447	426	463	406	406	360	333	8768
work---pt interaction	172	318	358	435	362	283	252	122	40	81	37	58	215

average leg duration: 4233.892601830899 seconds = 01:10:33
