person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
zone_13062;1;zone_13062_1;home;;28914.0;;2470;;634809.6045251472;4804830.701754259
zone_13062;2;zone_13062_2;work;40176.0;65776.0;;2876;;632060.2211048718;4804310.413999602
zone_13062;3;zone_13062_3;home;76311.0;;;2470;;634809.6045251472;4804830.701754259
zone_13063;1;zone_13063_1;home;;28284.0;;238;;632327.8271768508;4801385.892547786
zone_13063;2;zone_13063_2;work;32343.0;57838.0;;118;;629776.5934136424;4801898.668288691
zone_13063;3;zone_13063_3;home;61897.0;;;238;;632327.8271768508;4801385.892547786
zone_13064;1;zone_13064_1;home;;30426.0;;1742;;630491.4923342166;4803335.067557672
zone_13064;2;zone_13064_2;work;33750.0;61584.0;;1403;;632040.2194224335;4804799.049864544
zone_13064;3;zone_13064_3;home;64908.0;;;1742;;630491.4923342166;4803335.067557672
zone_13065;1;zone_13065_1;home;;31749.0;;1610;;631622.7512549884;4801588.114903901
zone_13065;2;zone_13065_2;work;35482.0;59543.0;;1837;;630784.690107689;4803830.118691895
zone_13065;3;zone_13065_3;home;63276.0;;;1610;;631622.7512549884;4801588.114903901
zone_13066;1;zone_13066_1;home;;27250.0;;977;;631856.9130445216;4804548.82528829
zone_13066;2;zone_13066_2;work;28930.0;67041.0;;2113;;632744.8747950724;4803938.610677628
zone_13066;3;zone_13066_3;home;68721.0;;;977;;631856.9130445216;4804548.82528829
zone_13067;1;zone_13067_1;home;;27440.0;;281;;630178.7975477742;4803091.894629664
zone_13067;2;zone_13067_2;work;30314.0;63002.0;;2369;;632012.5777954571;4802914.076306124
zone_13067;3;zone_13067_3;home;65876.0;;;281;;630178.7975477742;4803091.894629664
zone_13068;1;zone_13068_1;home;;27047.0;;1582;;632368.8966684025;4802999.726748132
zone_13068;2;zone_13068_2;work;31215.0;64909.0;;2313;;634768.3278621543;4804846.337355503
zone_13068;3;zone_13068_3;home;89790.0;;;1582;;632368.8966684025;4802999.726748132
zone_13069;1;zone_13069_1;home;;29284.0;;1299;;632622.9876690283;4804457.694485508
zone_13069;2;zone_13069_2;work;32420.0;61968.0;;2181;;630218.1879427515;4801334.9267173875
zone_13069;3;zone_13069_3;home;86882.0;;;1299;;632622.9876690283;4804457.694485508
