pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	761	1694	1299	868	603	415	322	338	315	241	215	216	1646
home---pt interaction	311	572	660	764	665	493	443	182	68	131	62	92	318
home---work	1199	2241	1312	966	872	813	753	740	685	700	603	613	5290
other---home	711	1565	1090	788	513	399	337	351	322	289	270	259	2041
other---pt interaction	108	196	234	245	194	177	158	68	22	46	26	43	120
pt interaction---home	314	583	672	755	668	486	432	187	74	136	61	100	322
pt interaction---other	110	195	239	242	200	173	152	63	20	47	29	43	126
pt interaction---pt interaction	1095	3747	3495	1207	7	0	0	0	0	0	0	0	0
pt interaction---work	201	358	389	503	410	315	302	130	55	98	45	65	251
work---home	1248	2314	1288	1061	991	850	807	844	778	661	632	606	4676
work---pt interaction	201	372	408	486	414	321	300	149	51	89	45	70	247

average leg duration: 2037.8753497202238 seconds = 00:33:57
