pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---other	825	1929	1608	974	558	361	253	262	244	212	206	215	1463
home---pt interaction	313	545	640	692	608	461	436	173	60	115	51	89	292
home---work	1289	2403	1508	1266	1186	1013	922	947	881	834	695	603	3349
other---home	773	1739	1312	968	609	480	353	349	342	268	232	212	1464
other---pt interaction	108	185	196	228	177	161	140	55	19	39	20	37	106
pt interaction---home	318	558	641	717	625	454	420	172	67	120	52	91	286
pt interaction---other	109	176	195	235	182	148	135	49	16	41	24	38	114
pt interaction---pt interaction	980	3362	3404	1245	5	0	0	0	0	0	0	0	0
pt interaction---work	219	343	358	482	384	308	300	127	57	91	43	49	252
work---home	1365	2519	1657	1518	1407	1132	992	964	864	693	487	429	2832
work---pt interaction	224	352	373	471	390	324	290	140	50	80	46	56	254

average leg duration: 1769.6906553182866 seconds = 00:29:29
